DATE_KEY,STORE,PRICE_PAID,QTY,DESCRIPTION,DEPARTMENT,CATEGORY
20170214,b2f0110036853825f25c50d3950d1a2976f5cbed,8.49,1,ENERGIZER ULT LITH 9V,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,90562e51fd084dd1cf468095f1a7e3821ee5e3ab,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,f715b356212e7edbaf76da98bf522b55dbb21a4c,9.99,1,ENRGZ H/AID AZ13DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,82ac83256169222e0c8d5351f2bcaa61ceae955d,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,5a88d4ba2b08ba56f03ce50fc15dfb995ba86ef4,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,e3f570224587c58237a0d18621809c3cf3446823,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,64a1e2dead4eb8a96babc795b10057cde763b77a,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2fecdd08bb48901ea5a776e9cd0fa61746cb7f97,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2fecdd08bb48901ea5a776e9cd0fa61746cb7f97,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,35079a55716a560a8c8642334efe7fbda33e988c,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,9c0e818090dc4d064c30198a5f427005b21f4cae,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,db5e122f9513b4fbc38492cdc289ecd021c0752c,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,1cca1a033df69da30c7f832909cf8cc3e8e57a58,11.69,1,ENRGZ MAX AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ed5f1c8383e9eb947b10fbe538a18745a5495e28,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,527fc9214bde289920898194820176358126b7ef,3.25,1,REFRESH HAWAAIAN AUTO WIPES,GENERAL MERCHANDISE,AUTOMOTIVE
20170214,c720ebb1777f7eeaff0339f6c78c718f263806db,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4ff5b3a9a3da04c79e007b41b18ebccbe6c14dc9,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,c425ae322e9ea01d428fb699d745b144c753ecd2,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ffad7e6e367e59e62bb359da11339f8ccda2e58c,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4dcc9dd498514ba6ddcdf86f95a9d7065d87700a,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,3c26e4c262fbf833721db28211db7347eea4b2e1,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,eb3a10b7a03a31121842f4cf8d160c22c994d404,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,1a2459d9b16ea85eeb59908fe1f0b728a93f43ce,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,b096d1e274587a102e260ddf33bbca1dcf610320,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,b096d1e274587a102e260ddf33bbca1dcf610320,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,852d833afff59789f9b1b65ae74bbe803914ee29,9.99,1,ENRGZ H/AID AZ13DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ce0a9cc041367d7c09cd2f15571679add3fd4431,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,d4c64a1e4107ed5431830e41e1dceb3c8fdf4c9c,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,d60d4896f0abab528cf72755e4bb5f3caea85169,11.69,1,ENRGZ MAX AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,1ce61ec86d908fa516371328bbd6efe5446f6dbe,9.99,1,ENRGZ H/AID AZ13DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,c1e6522aeb0dd615892b88f10d568ed7b693f8e,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,144462f20162cdc1d10597ad816a220d66e285cc,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2595807034a3626665f10bceb1a4c7aafefc9e26,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,144462f20162cdc1d10597ad816a220d66e285cc,9.99,1,ENRGZ H/AID AZ10DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
